Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s),Weather Code,"Weather Description_Mainly clear, partly cloudy, and overcast","Weather Description_Rain showers: Slight, moderate, and violent",Weather Description_Thunderstorm with slight and heavy hail,Weather Description_Thunderstorm: Slight or moderate,CO,Weather
2024-12-26 16:24:24,28.6807947,78.74834437,10.17019868,3,0,0,0,0,402.9137433902497,Other
2024-12-26 16:30:02,28.66357616,78.86754967,10.11589404,3,0,0,0,0,401.64305170450655,Other
2024-12-26 16:36:46,28.64635762,78.98675497,10.0615894,3,0,0,0,0,401.7013603286163,Other
2024-12-26 16:42:37,28.62913907,79.10596026,10.00728477,3,0,0,0,0,401.84067185329127,Other
2024-12-26 16:48:16,28.61192053,79.22516556,9.952980132,3,0,0,0,0,401.16764928416,Other
2024-12-26 16:54:11,28.59470199,79.34437086,9.898675497,3,0,0,0,0,400.6227555442541,Other
2024-12-27 08:00:53,28.57748344,79.46357616,9.844370861,3,0,0,0,0,402.96888941607233,Other
2024-12-27 08:06:51,28.5602649,79.58278146,9.790066225,3,0,0,0,0,401.4807611357549,Other
2024-12-27 08:12:23,28.54304636,79.70198675,9.735761589,3,0,0,0,0,403.037780444643,Other
2024-12-27 08:18:28,28.52582781,79.82119205,9.681456954,3,0,0,0,0,402.25808913972344,Other
2024-12-27 08:24:42,28.50860927,79.94039735,9.627152318,3,0,0,0,0,402.31872125441834,Other
2024-12-27 08:30:24,28.49139073,80.05960265,9.572847682,3,0,0,0,0,400.9079645393411,Other
2024-12-27 08:36:35,28.47417219,80.17880795,9.518543046,3,0,0,0,0,402.3138099397671,Other
2024-12-27 08:42:57,28.45695364,80.29801325,9.464238411,3,0,0,0,0,402.97372376751645,Other
2024-12-27 08:48:59,28.4397351,80.41721854,9.409933775,3,0,0,0,0,401.2614648218562,Other
2024-12-27 08:54:25,28.42251656,80.53642384,9.355629139,3,0,0,0,0,400.4065884011725,Other
2024-12-27 09:00:37,28.40529801,80.65562914,9.301324503,3,0,0,0,0,400.45928558386146,Other
2024-12-27 09:06:00,28.38807947,80.77483444,9.247019868,3,0,0,0,0,401.8986721709449,Other
2024-12-27 09:12:19,28.37086093,80.89403974,9.192715232,3,0,0,0,0,401.66273704652207,Other
2024-12-27 09:18:54,28.35364238,81.01324503,9.138410596,3,0,0,0,0,400.00224905301855,Other
2024-12-27 09:24:27,28.33642384,81.13245033,9.08410596,3,0,0,0,0,400.4897075271603,Other
2024-12-27 09:30:15,28.3192053,81.25165563,9.029801325,3,0,0,0,0,401.3817951357888,Other
2024-12-27 09:36:46,28.30198675,81.37086093,8.975496689,3,0,0,0,0,403.21059179442926,Other
2024-12-27 09:42:16,28.28476821,81.49006623,8.921192053,3,0,0,0,0,400.15965868890856,Other
2024-12-27 09:48:39,28.26754967,81.60927152,8.866887417,3,0,0,0,0,403.66225090829624,Other
2024-12-27 09:54:27,28.25033113,81.72847682,8.812582781,3,0,0,0,0,401.1306692378987,Other
2024-12-27 10:00:57,28.23311258,81.84768212,8.758278146,3,0,0,0,0,403.13715566522956,Other
2024-12-27 10:06:11,28.21589404,81.96688742,8.70397351,3,0,0,0,0,400.3458301145578,Other
2024-12-27 10:12:26,28.1986755,82.08609272,8.649668874,3,0,0,0,0,403.39160220921815,Other
2024-12-27 10:18:53,28.18145695,82.20529801,8.595364238,3,0,0,0,0,403.7242998040213,Other
2024-12-27 10:24:52,28.16423841,82.32450331,8.541059603,3,0,0,0,0,402.67336241408606,Other
2024-12-27 10:30:41,28.14701987,82.44370861,8.486754967,3,0,0,0,0,402.73741797936907,Other
2024-12-27 10:36:58,28.12980132,82.56291391,8.432450331,3,0,0,0,0,402.2678400262169,Other
2024-12-27 10:42:46,28.11258278,82.68211921,8.378145695,3,0,0,0,0,403.242325176867,Other
2024-12-27 10:48:29,28.09536424,82.8013245,8.32384106,3,0,0,0,0,402.7140674941048,Other
2024-12-27 10:54:40,28.0781457,82.9205298,8.269536424,3,0,0,0,0,401.4335732560346,Other
2024-12-27 11:00:33,28.06092715,83.0397351,8.215231788,3,0,0,0,0,403.8057329914363,Other
2024-12-27 11:06:36,28.04370861,83.1589404,8.160927152,3,0,0,0,0,402.28702903451665,Other
2024-12-27 11:12:05,28.02649007,83.2781457,8.106622517,3,0,0,0,0,402.5746060419615,Other
2024-12-27 11:18:06,28.00927152,83.39735099,8.052317881,3,0,0,0,0,402.41537521961243,Other
2024-12-27 11:24:31,27.99205298,83.51655629,7.998013245,3,0,0,0,0,403.87671687746695,Other
2024-12-27 11:30:31,27.97483444,83.63576159,7.943708609,3,0,0,0,0,403.67898556813105,Other
2024-12-27 11:36:52,27.95761589,83.75496689,7.889403974,3,0,0,0,0,400.46305735528205,Other
2024-12-27 11:42:24,27.94039735,83.87417219,7.835099338,3,0,0,0,0,404.1682806080331,Other
2024-12-27 11:48:32,27.92317881,83.99337748,7.780794702,3,0,0,0,0,401.855634713903,Other
2024-12-27 11:54:54,27.90596026,84.11258278,7.726490066,3,0,0,0,0,401.66612054671504,Other
2024-12-27 12:00:57,27.88874172,84.23178808,7.67218543,3,0,0,0,0,402.7492357997606,Other
2024-12-27 12:06:06,27.87152318,84.35099338,7.617880795,3,0,0,0,0,402.96407079126607,Other
2024-12-27 12:12:51,27.85430464,84.47019868,7.563576159,3,0,0,0,0,401.91287805393233,Other
2024-12-27 12:18:56,27.83708609,84.58940397,7.509271523,3,0,0,0,0,402.2066212484408,Other
2024-12-27 12:24:11,27.81986755,84.70860927,7.454966887,3,0,0,0,0,400.96934291120317,Other
2024-12-27 12:30:15,27.80264901,84.82781457,7.400662252,3,0,0,0,0,402.729946792995,Other
2024-12-27 12:36:15,27.78543046,84.94701987,7.346357616,3,0,0,0,0,402.91134698681117,Other
2024-12-27 12:42:42,27.76821192,85.06622517,7.29205298,3,0,0,0,0,402.1053276953684,Other
2024-12-27 12:48:52,27.75099338,85.18543046,7.237748344,3,0,0,0,0,404.234887426781,Other
2024-12-27 12:54:35,27.73377483,85.30463576,7.183443709,3,0,0,0,0,402.1007322595632,Other
2024-12-27 13:00:12,27.71655629,85.42384106,7.129139073,3,0,0,0,0,400.4308794711554,Other
2024-12-27 13:06:06,27.69933775,85.54304636,7.074834437,3,0,0,0,0,403.34436006290395,Other
2024-12-27 13:12:35,27.68211921,85.66225166,7.020529801,3,0,0,0,0,404.0765440426643,Other
2024-12-27 13:18:46,27.66490066,85.78145695,6.966225166,3,0,0,0,0,401.6040912909678,Other
2024-12-27 13:24:50,27.64768212,85.90066225,6.91192053,3,0,0,0,0,401.2019730036321,Other
2024-12-27 13:30:08,27.63046358,86.01986755,6.857615894,3,0,0,0,0,402.5698735206673,Other
2024-12-27 13:36:31,27.61324503,86.13907285,6.803311258,3,0,0,0,0,401.18150385576035,Other
2024-12-27 13:42:10,27.59602649,86.25827815,6.749006623,3,0,0,0,0,402.6991537097869,Other
2024-12-27 13:48:07,27.57880795,86.37748344,6.694701987,3,0,0,0,0,401.8923860299609,Other
2024-12-27 13:54:32,27.5615894,86.49668874,6.640397351,3,0,0,0,0,403.3760104895223,Other
2024-12-27 14:00:22,27.54437086,86.61589404,6.586092715,3,0,0,0,0,401.06739375537313,Other
2024-12-27 14:06:24,27.52715232,86.73509934,6.531788079,3,0,0,0,0,404.1365248396347,Other
2024-12-27 14:12:55,27.50993377,86.85430464,6.477483444,3,0,0,0,0,402.2288861408591,Other
2024-12-27 14:18:07,27.49271523,86.97350993,6.423178808,3,0,0,0,0,404.5757664420305,Other
2024-12-27 14:24:44,27.47549669,87.09271523,6.368874172,3,0,0,0,0,401.15359967260326,Other
2024-12-27 14:30:21,27.45827815,87.21192053,6.314569536,3,0,0,0,0,400.83782447808494,Other
2024-12-27 14:36:58,27.4410596,87.33112583,6.260264901,3,0,0,0,0,404.4726803892126,Other
2024-12-27 14:42:03,27.42384106,87.45033113,6.205960265,3,0,0,0,0,402.9788052835311,Other
2024-12-27 14:48:39,27.40662252,87.56953642,6.151655629,3,0,0,0,0,403.9553478875267,Other
2024-12-27 14:54:02,27.38940397,87.68874172,6.097350993,3,0,0,0,0,403.04786730354834,Other
2024-12-27 15:00:28,27.37218543,87.80794702,6.043046358,3,0,0,0,0,403.22264028487535,Other
2024-12-27 15:06:40,27.35496689,87.92715232,5.988741722,3,0,0,0,0,401.92019547178717,Other
2024-12-27 15:12:28,27.33774834,88.04635762,5.934437086,3,0,0,0,0,401.73300383207953,Other
2024-12-27 15:18:33,27.3205298,88.16556291,5.88013245,3,0,0,0,0,405.3152942444289,Other
2024-12-27 15:24:33,27.30331126,88.28476821,5.825827815,3,0,0,0,0,404.2274545861459,Other
2024-12-27 15:30:27,27.28609272,88.40397351,5.771523179,3,0,0,0,0,402.40561352180225,Other
2024-12-27 15:36:12,27.26887417,88.52317881,5.717218543,3,0,0,0,0,402.53915835643164,Other
2024-12-27 15:42:14,27.25165563,88.64238411,5.662913907,3,0,0,0,0,403.00783961560865,Other
2024-12-27 15:48:59,27.23443709,88.7615894,5.608609272,3,0,0,0,0,404.29947995285556,Other
2024-12-27 15:54:22,27.21721854,88.8807947,5.554304636,3,0,0,0,0,404.3656166720461,Other
2024-12-27 16:00:43,27.2,89.0,5.5,3,1,0,0,0,402.9704135356172,Clear
2024-12-27 16:06:25,27.2,89.0,5.5,3,1,0,0,0,403.0619167016571,Clear
2024-12-27 16:12:03,27.2,89.0,5.5,3,1,0,0,0,401.37686540877235,Clear
2024-12-27 16:18:25,27.2,89.0,5.5,3,1,0,0,0,402.74435915457036,Clear
2024-12-27 16:24:39,27.2,89.0,5.5,3,1,0,0,0,402.0615928523207,Clear
2024-12-27 16:30:08,27.2,89.0,5.5,3,1,0,0,0,402.50738403215246,Clear
2024-12-27 16:36:54,27.2,89.0,5.5,3,1,0,0,0,402.89918228630654,Clear
2024-12-27 16:42:04,27.2,89.0,5.5,3,1,0,0,0,401.8961946899429,Clear
2024-12-27 16:48:55,27.2,89.0,5.5,3,1,0,0,0,402.0524417345292,Clear
2024-12-27 16:54:31,27.2,89.0,5.5,3,1,0,0,0,404.2992581564016,Clear
2024-12-28 08:00:19,28.1,84.0,9.2,3,1,0,0,0,403.02333174182024,Clear
2024-12-28 08:06:49,28.1,84.0,9.2,3,1,0,0,0,401.88983223375055,Clear
2024-12-28 08:12:10,28.1,84.0,9.2,3,1,0,0,0,403.4184702607254,Clear
2024-12-28 08:18:14,28.1,84.0,9.2,3,1,0,0,0,403.56250694072713,Clear
2024-12-28 08:24:31,28.1,84.0,9.2,3,1,0,0,0,401.64574893499037,Clear
2024-12-28 08:30:27,28.1,84.0,9.2,3,1,0,0,0,401.8091078274822,Clear
